"","sample","lang","cregion","state","sex","q1","q3","eminuse","intmob","bbhome3a","bbhome3b","bbhome3c","bbhome3d","bbhome3e","cable1","date3a","date3b","date4a","date4b","date4c","date4d","date4e","date4f","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","age","marital","hh1","par","educ2","party","ideo","hisp","race","employed"
"651",1,1,4,6,2,1,2,1,1,1,1,2,2,1,1,1,1,1,NA,2,2,1,2,2,3,1,NA,NA,NA,NA,1,NA,32,1,2,1,6,1,2,2,1,1
"652",1,1,4,6,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,NA,2,2,1,26,6,4,2,3,NA,NA,1,6,1
"655",1,2,1,25,1,1,1,1,1,1,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,3,2,3,1,1,30,6,1,2,2,1,1,1,4,0
"659",1,1,2,39,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,NA,2,NA,NA,1,1,59,1,3,2,6,2,3,2,1,1
"660",1,1,1,36,2,1,3,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,1,1,2,1,3,1,2,53,1,2,2,6,2,5,2,1,1
"662",1,1,1,42,2,2,2,1,1,2,1,1,3,2,1,2,2,2,1,2,2,2,1,1,2,1,NA,2,3,2,1,2,61,1,2,2,8,2,3,2,1,1
"663",1,1,3,12,2,2,3,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,2,2,NA,1,1,NA,1,3,1,1,61,1,3,2,4,2,4,2,1,1
"664",1,1,2,39,2,2,3,1,1,1,1,1,2,1,1,2,2,2,NA,1,2,2,1,1,2,3,3,1,3,2,2,2,61,1,2,2,6,2,2,2,1,1
"666",1,1,2,39,1,3,3,1,1,3,3,2,2,3,1,2,2,1,2,2,2,1,2,1,3,1,2,3,NA,3,2,2,50,6,1,2,3,3,2,2,1,1
"667",1,1,1,36,1,1,3,1,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,NA,3,NA,3,3,2,NA,2,52,3,1,2,6,3,3,2,1,1
"670",1,1,2,19,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,3,3,2,3,3,3,2,2,66,6,1,2,6,2,4,2,1,1
"671",1,1,2,29,1,2,2,1,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,3,2,1,2,1,1,2,31,1,2,2,6,2,5,2,1,1
"673",1,2,3,48,1,1,1,1,1,1,3,1,3,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,44,1,3,1,6,NA,NA,1,1,1
"674",1,1,3,1,2,2,4,2,1,3,3,3,3,3,1,2,2,2,2,2,2,2,1,1,1,3,3,3,3,2,2,2,47,1,3,2,5,1,2,2,1,1
"677",1,1,3,48,2,2,3,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,3,2,2,2,2,3,2,1,36,1,2,1,4,1,2,2,1,1
"678",1,1,3,13,1,1,3,1,2,2,3,3,NA,3,2,1,1,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,66,3,1,2,6,3,3,2,1,1
"680",1,1,2,39,1,2,2,1,2,3,3,3,3,3,2,2,2,2,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,1,1,58,1,2,2,6,3,2,2,1,1
"681",1,1,1,23,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,NA,1,NA,1,NA,3,1,NA,55,1,3,1,8,2,5,2,4,1
"683",1,1,2,39,2,4,4,2,2,2,1,2,3,2,1,2,2,1,2,2,2,1,1,2,2,3,2,2,NA,2,1,2,58,3,2,2,3,3,2,2,1,0
"685",1,1,1,42,1,2,3,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,22,6,4,2,3,3,4,2,1,1
"686",1,1,1,23,2,2,3,1,1,3,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,3,2,3,2,1,2,32,6,2,1,3,3,5,2,1,1
"688",1,1,2,20,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,2,2,2,2,2,2,37,1,2,1,8,2,4,2,1,1
"691",1,1,2,29,1,1,2,1,1,1,2,1,1,1,2,1,1,1,NA,2,1,NA,NA,1,2,1,2,3,NA,2,1,2,32,1,2,1,6,NA,2,2,1,1
"692",1,1,1,42,2,3,3,1,1,3,2,3,3,3,1,1,2,1,2,2,2,2,1,1,2,2,3,NA,3,3,2,2,65,1,2,2,3,3,2,2,1,1
"693",1,1,3,12,2,2,2,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,64,1,3,2,8,2,4,2,1,1
"694",1,1,3,28,2,2,2,1,2,NA,1,1,1,1,1,2,2,2,2,2,2,2,NA,1,2,3,2,2,2,NA,NA,NA,68,1,2,2,8,2,4,2,2,1
"695",1,1,2,26,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,NA,1,2,2,1,2,1,2,56,3,1,2,3,2,2,2,1,1
"697",1,1,3,21,1,2,2,1,1,2,1,1,1,1,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,62,5,1,2,3,2,4,2,1,1
"699",1,1,4,6,2,3,1,1,1,2,1,2,1,3,1,2,2,2,1,2,2,1,1,2,2,2,NA,NA,NA,2,1,1,51,4,2,1,6,2,4,2,1,1
"701",1,1,2,39,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,NA,1,1,1,2,2,NA,3,NA,2,2,1,60,1,2,2,3,NA,NA,2,1,0
"702",2,1,3,51,1,1,2,2,2,2,2,2,2,2,1,2,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,99,1,2,2,3,3,2,2,1,1
"703",2,1,1,36,1,1,3,1,1,1,1,1,1,1,1,1,2,NA,1,2,2,2,1,1,2,3,2,2,3,3,1,2,26,6,3,2,3,2,3,2,2,1
"704",2,1,2,26,1,1,2,1,1,3,3,3,3,3,1,1,2,1,1,2,2,1,2,1,1,3,1,1,3,1,1,2,56,1,2,2,3,3,5,2,1,1
"705",2,1,3,45,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,NA,NA,NA,NA,3,1,2,38,1,3,2,5,1,2,2,1,1
"706",2,1,1,36,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,NA,2,NA,3,1,2,32,6,1,2,8,2,4,2,1,1
"707",2,1,2,17,2,3,3,1,1,3,3,1,3,3,1,1,2,1,1,2,2,1,1,1,2,2,NA,2,2,2,1,1,49,4,1,2,2,3,5,2,2,0
"709",2,1,1,36,1,2,3,2,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,1,2,3,NA,NA,NA,3,2,2,30,6,1,2,6,3,NA,2,NA,1
"712",2,1,2,19,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,NA,1,1,1,1,1,2,2,2,NA,1,1,2,49,1,3,1,6,NA,NA,2,1,1
"715",2,1,3,48,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,3,3,2,3,3,2,2,45,1,4,2,3,1,2,2,1,0
"716",2,1,3,40,1,3,4,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,30,1,2,1,5,3,2,2,1,1
"717",2,2,3,40,1,2,3,2,2,3,3,3,1,3,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,3,1,1,47,1,1,1,2,NA,NA,1,1,1
"718",2,1,3,48,1,3,4,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,52,3,2,2,6,NA,NA,2,2,1
"719",2,1,3,48,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,1,NA,1,2,26,6,5,2,3,2,4,1,1,1
"720",2,1,2,18,1,2,3,1,1,3,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,3,2,2,39,1,2,1,3,3,NA,2,1,1
"721",2,2,3,12,1,2,2,1,1,2,2,2,2,1,2,2,2,NA,1,2,2,NA,2,1,2,2,3,2,2,2,1,1,50,6,1,1,3,3,4,1,1,1
"722",2,2,3,51,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,3,3,NA,NA,1,2,65,5,1,2,1,NA,4,1,2,1
"723",2,1,3,51,1,2,3,2,1,2,1,NA,2,1,1,NA,2,2,1,2,1,2,1,2,2,2,1,2,NA,2,1,1,28,3,1,1,3,3,4,2,1,1
"724",2,1,2,17,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,3,1,2,2,1,2,2,40,2,2,1,6,3,3,2,1,1
"725",2,1,2,17,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,3,2,2,2,NA,1,2,47,3,1,1,8,3,3,2,1,1
"726",2,1,3,48,1,1,3,1,1,3,3,3,3,3,2,2,2,2,2,2,NA,1,1,2,2,1,NA,NA,NA,NA,1,2,55,1,4,1,6,3,2,2,1,1
"727",2,1,3,5,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,38,6,2,2,3,3,2,2,2,1
"729",2,1,2,39,1,2,4,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,3,NA,2,NA,NA,2,2,52,1,2,2,4,3,4,2,1,1
"730",2,1,3,51,2,2,3,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,1,1,2,3,3,2,2,1,2,2,22,6,2,2,3,3,2,2,2,0
"731",2,1,2,39,1,3,3,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,NA,2,2,33,1,2,1,6,3,3,2,1,1
"732",2,1,3,48,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,3,3,2,3,1,1,2,19,6,3,2,3,2,4,1,1,1
"733",2,1,3,28,1,2,4,1,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,3,1,2,1,1,2,2,25,6,1,2,6,NA,2,2,NA,1
"734",2,1,3,1,1,1,2,1,1,3,3,2,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,23,6,1,2,6,3,3,2,1,1
"735",2,1,1,34,1,2,2,1,1,3,3,3,3,3,1,1,2,1,1,2,2,1,2,2,3,1,NA,3,3,3,1,2,42,1,2,1,4,3,3,2,1,1
"737",2,1,2,29,1,4,3,1,1,3,2,3,3,3,1,2,2,NA,NA,2,NA,NA,2,1,2,2,1,3,NA,NA,1,NA,60,1,2,2,6,3,3,2,1,1
"738",2,1,3,12,1,2,3,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,3,1,2,3,NA,3,1,2,53,1,1,1,4,1,2,2,1,1
"739",2,1,3,1,1,3,4,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,3,1,1,3,2,2,53,1,4,1,2,2,5,2,1,1
"740",2,1,3,12,2,2,2,1,1,3,3,3,3,3,1,1,1,1,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,2,1,38,3,2,2,6,1,2,1,1,1
"742",2,1,2,20,2,1,3,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,3,1,2,3,2,3,1,2,24,1,2,1,4,NA,4,2,4,0
"743",2,1,3,12,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,NA,2,1,2,3,1,NA,3,NA,3,1,1,36,3,2,2,6,NA,NA,2,NA,1
"745",2,1,3,12,1,1,2,1,1,1,1,3,3,3,1,2,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,80,2,2,2,6,2,2,2,1,1
"746",2,1,1,34,1,2,2,1,1,2,3,3,2,2,1,2,2,1,1,2,1,1,2,2,2,1,NA,NA,NA,3,1,2,52,1,3,2,6,3,2,2,1,1
"747",2,1,2,26,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,2,1,2,2,1,2,24,6,2,2,7,2,3,2,2,1
"748",2,1,3,12,1,1,1,1,1,1,NA,2,2,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,NA,1,1,2,19,6,2,2,3,3,NA,1,1,1
"749",2,1,1,36,2,2,3,1,1,2,3,3,3,3,2,2,2,1,1,2,1,2,2,1,2,NA,2,NA,NA,2,2,1,53,5,3,2,3,2,3,2,2,0
"750",2,1,2,39,2,2,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,NA,NA,NA,2,1,1,53,1,2,2,3,1,2,2,1,0
"751",2,1,3,45,1,2,2,1,1,3,2,2,3,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,21,6,4,2,5,1,4,2,1,1
"752",2,1,3,37,1,2,3,1,2,3,3,NA,3,2,1,1,1,2,1,1,2,2,1,1,2,1,NA,2,3,2,1,2,66,1,2,2,5,1,2,2,1,1
"753",2,1,2,39,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,NA,1,3,3,NA,3,1,2,65,1,2,2,5,2,4,2,1,1
"754",2,1,3,45,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,49,1,3,1,8,1,2,2,1,1
"756",2,1,3,13,1,2,2,1,1,3,2,3,3,1,2,2,2,1,2,2,1,2,2,2,2,NA,2,NA,3,NA,1,2,54,3,1,2,5,3,3,2,2,1
"757",2,1,3,13,2,1,3,1,1,NA,3,NA,NA,NA,2,2,2,2,1,NA,NA,2,1,2,NA,NA,1,NA,1,3,1,1,45,1,2,2,8,3,NA,2,5,1
"758",2,1,2,39,1,2,2,1,2,1,1,3,2,2,1,1,2,2,1,2,2,1,1,1,2,3,3,2,3,1,1,2,19,6,3,2,3,3,2,2,1,1
"761",2,1,3,37,2,1,3,1,1,3,NA,1,2,1,1,2,1,2,2,1,2,1,1,1,2,NA,NA,2,3,2,2,1,59,1,3,2,4,1,2,2,1,1
"762",2,1,4,6,1,1,NA,2,2,NA,1,NA,1,1,1,2,2,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,57,6,4,2,3,2,3,2,1,0
"763",2,1,4,49,2,2,3,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,22,6,3,2,4,3,3,2,1,0
"765",2,1,4,53,2,1,3,1,1,3,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,1,NA,2,NA,3,1,2,99,1,2,2,3,3,3,2,1,1
"767",2,1,3,12,2,2,2,1,1,3,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,NA,NA,1,NA,31,1,2,1,8,1,1,2,1,0
"768",2,1,3,13,2,4,3,1,1,3,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,3,2,3,2,3,1,2,37,4,1,1,7,2,5,2,1,1
"769",2,1,2,55,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,NA,2,NA,2,1,2,22,6,5,2,6,3,5,2,3,1
"770",2,1,3,13,1,2,2,1,1,2,3,2,1,1,1,2,2,1,NA,2,2,2,1,1,2,3,3,3,3,2,2,2,35,2,3,1,3,3,2,2,2,1
"771",2,1,3,1,1,3,4,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,3,2,1,1,1,1,1,28,6,1,2,3,2,2,2,2,1
"772",2,1,2,39,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,3,1,2,2,1,3,2,2,52,3,1,2,8,2,4,2,1,1
"773",2,1,1,9,1,1,2,1,1,3,3,3,3,2,2,1,1,1,1,2,2,1,2,1,1,1,NA,2,3,1,1,NA,24,6,2,2,4,3,1,1,1,1
"774",2,1,3,12,2,3,3,1,1,2,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,3,3,1,3,1,2,2,32,6,1,1,5,2,2,2,2,0
"777",2,1,3,47,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,3,1,2,3,1,2,1,1,25,6,1,2,6,NA,3,2,1,1
"778",2,1,4,4,1,1,3,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,3,NA,2,3,2,NA,1,1,30,1,2,2,3,3,2,2,1,1
"779",2,1,4,6,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,3,1,2,35,1,2,2,3,3,5,2,1,1
"780",2,1,4,8,2,2,3,1,1,3,1,NA,2,3,1,1,2,2,2,1,1,1,1,1,2,2,NA,2,NA,3,1,1,28,3,2,2,5,NA,NA,2,1,1
"782",2,1,4,2,2,2,3,1,1,2,3,2,2,3,NA,2,2,1,2,2,2,2,2,1,1,2,2,2,2,3,1,1,18,2,3,2,4,2,3,2,1,1
"784",2,1,4,6,1,2,2,1,1,3,1,1,2,2,2,1,1,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,53,6,1,2,8,2,1,1,6,1
"786",2,1,4,49,1,1,1,1,1,3,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,3,2,3,3,2,2,28,1,4,2,3,3,1,2,1,1
"787",2,1,4,8,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,3,1,1,1,1,1,2,40,4,3,1,3,2,2,1,2,1
"788",2,1,4,6,1,2,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,3,NA,2,NA,3,2,2,33,6,2,2,3,3,3,1,4,1
"789",2,1,4,2,2,2,2,1,1,2,3,3,NA,3,1,2,2,1,1,2,2,2,NA,1,NA,NA,1,2,NA,NA,1,NA,61,4,2,2,4,2,4,2,1,1
"790",2,2,1,36,1,2,4,2,2,2,2,NA,2,2,1,2,2,2,1,1,1,1,2,2,NA,NA,NA,NA,2,1,NA,NA,58,6,6,2,1,3,5,1,6,1
"791",2,1,3,13,1,2,4,1,1,1,1,1,3,3,1,2,2,2,2,1,1,2,1,1,2,3,NA,2,2,2,1,2,27,1,2,1,3,3,2,2,1,1
"794",2,1,3,11,1,2,2,1,1,3,3,3,3,3,2,1,NA,1,1,2,2,2,2,2,2,2,NA,2,NA,NA,2,2,28,6,1,2,8,NA,3,2,2,1
"796",2,1,3,24,1,1,1,1,1,3,1,2,3,2,1,1,2,1,2,2,2,2,2,1,2,3,3,1,3,1,1,2,29,2,2,1,3,1,4,2,1,1
"797",2,1,2,39,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,3,1,2,NA,2,1,1,55,5,1,2,4,1,2,2,1,0
"798",2,1,1,42,1,2,2,1,1,3,3,2,2,2,1,2,2,1,1,1,2,2,1,1,2,1,3,3,3,2,1,2,19,6,2,2,4,2,4,2,1,1
"799",2,1,1,36,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,32,2,2,2,8,1,3,1,6,1
"801",2,1,3,24,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,2,1,2,2,1,2,47,1,2,1,8,NA,3,2,NA,1
"802",2,2,1,36,1,2,2,1,1,3,2,2,2,3,1,2,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,2,1,60,1,2,2,1,2,2,1,6,1
"804",2,1,3,10,1,2,3,2,2,2,NA,3,3,3,1,2,2,1,1,2,2,1,1,2,NA,NA,3,NA,NA,NA,NA,NA,68,1,2,1,7,3,2,2,1,1
"805",2,1,3,54,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,NA,2,1,2,40,1,2,2,8,3,3,2,1,1
"807",2,1,3,48,2,2,2,1,1,1,1,1,1,1,2,2,2,1,NA,2,NA,NA,1,1,2,2,NA,3,NA,3,2,1,63,3,2,2,8,3,4,2,1,1
"808",2,1,1,25,1,3,3,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,3,NA,3,1,1,43,1,2,1,4,2,5,2,3,1
"809",2,1,2,55,1,2,3,1,1,3,3,3,3,3,1,1,1,1,1,2,2,1,2,1,2,2,2,3,2,3,2,2,42,1,2,1,3,3,2,2,1,1
"810",2,1,3,48,1,2,3,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,3,2,1,3,2,2,1,24,2,2,1,5,3,3,1,2,0
"811",2,1,2,18,1,2,3,1,2,3,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,3,NA,3,3,2,2,2,19,6,4,2,4,3,3,1,1,0
"812",2,1,1,34,2,3,3,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,3,2,2,1,2,1,1,20,6,3,2,3,1,3,2,1,1
"814",2,1,3,11,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,3,NA,2,2,2,1,2,21,6,3,2,5,3,3,1,6,0
"815",2,1,1,9,1,1,3,1,1,2,2,2,3,2,1,1,1,1,1,2,2,2,2,2,2,3,1,3,1,NA,1,2,32,1,2,1,8,3,4,2,1,1
"816",2,2,4,6,2,1,2,1,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35,2,4,1,1,3,2,1,1,0
"817",2,2,4,8,2,2,2,2,1,2,2,2,1,2,1,2,2,2,NA,2,2,1,1,2,3,2,2,2,NA,NA,2,2,34,2,2,1,2,3,2,1,1,1
"819",2,1,3,12,1,1,2,1,2,3,2,1,3,3,1,1,1,2,2,2,2,2,1,2,3,1,2,2,NA,1,1,2,62,1,2,2,8,3,2,2,1,1
"820",2,1,1,42,2,4,4,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,1,1,1,3,3,1,3,2,2,2,29,6,1,2,6,1,1,2,1,1
"821",2,1,3,24,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,3,3,NA,3,2,3,2,1,48,3,1,2,4,3,NA,2,2,1
"822",2,1,3,51,1,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,3,2,3,1,1,35,1,2,1,5,3,2,2,1,1
"825",2,1,3,1,1,1,3,1,1,3,3,3,2,3,2,1,2,2,2,2,1,2,1,1,3,3,3,1,3,3,2,2,22,1,2,1,2,3,2,2,1,1
"827",2,1,3,12,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,31,1,2,1,8,3,4,1,1,1
"828",2,2,3,22,2,2,4,1,1,3,2,1,2,3,1,2,2,2,2,NA,2,1,1,2,3,2,NA,NA,NA,3,1,1,30,1,2,1,1,NA,NA,1,NA,0
"829",2,1,3,21,1,1,3,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,1,3,1,1,3,NA,3,1,2,55,1,5,1,6,2,3,2,1,1
"830",2,1,4,8,1,2,4,1,1,3,3,3,3,3,1,2,2,2,2,2,1,2,2,1,3,1,3,2,3,1,1,2,20,6,4,2,3,1,2,2,1,1
"831",2,2,4,6,1,2,4,2,2,2,NA,1,NA,NA,1,2,2,1,1,2,1,1,1,2,NA,3,NA,3,NA,NA,2,1,25,1,2,2,NA,NA,NA,1,6,0
"832",2,1,4,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,1,1,66,3,1,2,6,2,4,2,1,1
"834",2,1,4,8,1,2,2,1,1,2,1,3,1,1,1,1,1,1,1,2,2,1,2,1,2,3,1,2,1,1,1,2,30,1,3,2,6,2,3,2,1,1
"835",2,1,3,22,2,4,4,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,3,1,2,3,NA,3,1,1,68,3,1,2,7,3,3,2,1,0
"836",2,1,3,22,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,2,2,49,2,2,2,2,1,2,2,2,0
"838",2,1,4,30,1,2,4,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,3,1,NA,3,3,3,1,1,57,3,1,2,4,3,4,2,1,1
"839",2,1,2,55,2,2,3,1,2,3,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,NA,NA,1,1,70,1,3,2,2,1,3,2,1,1
"840",2,1,3,1,2,4,3,1,1,2,3,2,3,3,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,38,4,1,1,5,2,3,2,2,1
"841",2,1,4,6,2,2,3,1,1,2,2,2,2,1,2,NA,NA,1,1,2,2,1,1,1,2,1,3,2,2,1,2,2,37,1,2,1,8,3,5,2,3,1
"842",2,1,4,53,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,3,3,1,3,2,2,2,20,6,4,2,3,2,3,2,3,0
"846",2,2,4,53,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,NA,2,1,1,27,1,4,2,7,3,2,1,6,1
"848",2,1,4,53,1,1,2,1,1,3,NA,NA,3,3,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50,1,1,2,4,3,NA,2,1,1
"849",2,1,2,18,2,2,3,1,2,3,3,3,3,3,1,2,2,2,2,2,2,2,2,1,3,1,3,3,3,1,2,1,66,1,2,2,4,3,2,2,1,1
"850",2,1,3,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,3,1,3,1,1,36,1,2,1,8,3,5,2,1,1
"853",2,1,1,36,1,2,3,1,1,2,1,1,1,2,1,1,2,1,2,2,2,NA,2,1,1,3,1,2,2,3,NA,2,21,6,2,2,3,3,5,2,2,0
"854",2,1,1,42,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2,NA,2,1,NA,1,1,2,23,6,2,2,6,1,4,2,1,1
"855",2,1,3,47,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,3,2,1,3,NA,2,2,2,26,2,4,2,6,3,5,2,1,1
"856",2,1,1,42,1,1,1,1,2,3,3,3,3,3,2,2,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,99,1,6,1,8,3,2,2,NA,1
"858",2,1,3,12,1,3,3,1,2,2,3,2,3,3,1,1,1,2,2,2,2,2,NA,2,NA,1,1,2,NA,NA,1,1,57,6,2,2,7,3,NA,2,NA,1
"859",2,2,3,12,1,1,2,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,3,2,1,3,2,3,1,1,47,1,2,2,1,2,1,1,6,1
"860",2,1,2,46,1,1,1,1,1,2,2,2,2,2,1,2,NA,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,34,1,2,1,4,3,2,2,1,1
"861",2,2,3,48,1,2,3,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,NA,NA,3,2,1,1,37,1,2,1,2,3,2,1,1,1
"862",2,1,3,12,1,3,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,3,1,2,2,1,30,6,1,1,6,1,NA,2,1,1
"864",2,1,3,45,2,3,3,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,1,3,1,2,22,2,2,1,1,3,4,2,1,0
"865",2,1,3,10,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,1,3,3,2,1,2,1,2,22,6,2,2,6,2,4,2,1,0
